locus_tag	old_locus_tag	start	end	width	category	category_name	big_category	big_category_name
SACI_RS00210	Saci_0047	32386	33312	926	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS00215	Saci_0048	33275	33697	422	NA	NA	NA	NA
SACI_RS00220	Saci_0049	34242	34703	461	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00225	Saci_0050	34784	35782	998	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00230	Saci_0051	35772	38432	2660	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00235	Saci_0052	38429	39577	1148	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00240	Saci_0053	39583	41070	1487	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00245	Saci_0054	41173	41547	374	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00250	Saci_0055	41687	42094	407	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00255	Saci_0057	42224	43735	1511	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS00260	Saci_0058	43732	44193	461	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00265	Saci_0059	44258	45793	1535	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS00270	Saci_0060	45790	46605	815	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00275	Saci_0061	46630	47589	959	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00280	Saci_0062	47573	47995	422	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS00285	Saci_0063	48034	48109	75	NA	NA	NA	NA
SACI_RS00290	Saci_0064	48401	48601	200	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00295	Saci_0065	48720	49055	335	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00300	Saci_0066	49161	49294	133	NA	NA	NA	NA
SACI_RS00305	Saci_0067	49408	50886	1478	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00310	Saci_0068	50870	51946	1076	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00315	Saci_0069	51981	52646	665	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00320	Saci_0070	52633	53166	533	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00325	Saci_0071	53147	54160	1013	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00330	Saci_0072	54137	55165	1028	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00335	Saci_0073	55188	55652	464	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00340	Saci_0074	55685	58033	2348	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00345	Saci_0075	58023	59261	1238	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00350	Saci_0076	59271	60356	1085	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00355	Saci_0077	60401	60751	350	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00360	Saci_0078	60797	61237	440	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00365	Saci_0079	61236	62510	1274	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00370	Saci_0080	62537	63049	512	NA	NA	NA	NA
SACI_RS00375	Saci_0081	63067	63597	530	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00380	Saci_0082	63581	63979	398	NA	NA	NA	NA
SACI_RS00385	Saci_0083	63991	64785	794	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00390	Saci_0084	64785	65141	356	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00395	Saci_0085	65138	65584	446	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00400	Saci_0086	65581	65997	416	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00405	Saci_0087	66004	66204	200	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00410	Saci_0088	66214	66891	677	NA	NA	NA	NA
SACI_RS00415	Saci_0089	66888	67742	854	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00420	Saci_0090	67735	68421	686	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00425	Saci_0091	68396	69499	1103	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00430	Saci_0092	69496	70488	992	NA	NA	NA	NA
SACI_RS00435	Saci_0093	70488	71474	986	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00440	Saci_0094	71474	72148	674	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00445	Saci_0095	72170	72476	306	NA	NA	NA	NA
SACI_RS00450	Saci_0096	72570	72657	87	NA	NA	NA	NA
SACI_RS00455	Saci_0097	72941	74701	1760	C	Energy production and conversion	3	METABOLISM
SACI_RS00460	Saci_0098	74750	75799	1049	C	Energy production and conversion	3	METABOLISM
SACI_RS00465	Saci_0099	75808	75993	185	C	Energy production and conversion	3	METABOLISM
SACI_RS00470	Saci_0100	76005	76736	731	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00475	Saci_0101	76782	76943	161	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS11785		76954	77094	140	NA	NA	NA	NA
SACI_RS00480	Saci_0102	77181	77561	380	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00485	Saci_0103	77583	78254	671	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00490	Saci_0104	78251	78718	467	Q	Secondary metabolites biosynthesis, transport and catabolism	3	METABOLISM
SACI_RS00495	Saci_0105	78712	79299	587	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00500	Saci_0106	79274	80443	1169	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00505	Saci_0107	80463	80978	515	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00510	Saci_0108	81151	81846	695	Q	Secondary metabolites biosynthesis, transport and catabolism	3	METABOLISM
SACI_RS00515	Saci_0109	81827	82237	410	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00520	Saci_0110	82213	82638	425	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00525	Saci_0111	82751	83005	254	NA	NA	NA	NA
SACI_RS00530	Saci_0112	83009	83653	644	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00535	Saci_0113	83676	84857	1181	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS00545	Saci_0114	85270	86070	800	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00550	Saci_0116	86173	86481	308	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00555	Saci_0117	86487	87179	692	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS00560	Saci_0118	87193	87738	545	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00565	Saci_0119	87713	89284	1571	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS00570	Saci_0120	89673	90632	959	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS00575	Saci_0121	90953	91405	452	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00580	Saci_0122	91411	92751	1340	C	Energy production and conversion	3	METABOLISM
SACI_RS00585	Saci_0123	92849	93445	596	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00590	Saci_0124	93482	94768	1286	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00595	Saci_0125	94881	97319	2438	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00600	Saci_0127	97397	99625	2228	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00605	Saci_0128	99663	100643	980	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00610	Saci_0129	100629	101354	725	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00615	Saci_0130	101617	101877	260	NA	NA	NA	NA
SACI_RS00620	Saci_0131	101944	103008	1064	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00625	Saci_0132	103217	103636	419	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00630	Saci_0133	103919	104302	383	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00635	Saci_0134	104311	105249	938	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00640	Saci_0135	105251	106054	803	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00645	Saci_0136	106051	107295	1244	C	Energy production and conversion	3	METABOLISM
SACI_RS00650	Saci_0137	107432	108718	1286	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00655	Saci_0138	108774	109628	854	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00660		109767	110435	668	NA	NA	NA	NA
SACI_RS00665	Saci_0140	110503	111342	839	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00670	Saci_0141	111332	112000	668	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00675		112370	113017	647	NA	NA	NA	NA
SACI_RS00680		113025	113624	599	NA	NA	NA	NA
SACI_RS00685	Saci_0144	113681	114820	1139	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS00690	Saci_0145	114813	115757	944	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS00695	Saci_0146	115735	116127	392	NA	NA	NA	NA
SACI_RS00700	Saci_0147	116128	117948	1820	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00705	Saci_0148	117938	119026	1088	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00710	Saci_0149	119093	120415	1322	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS11970	Saci_0150	120774	121208	434	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00720	Saci_0151	121201	122121	920	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS00725	Saci_0152	122124	123533	1409	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00730	Saci_0153	123514	123954	440	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS00735	Saci_0154	124051	125265	1214	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00740	Saci_0155	125386	126657	1271	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00745	Saci_0156	126658	126939	281	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00750	Saci_0157	126944	128431	1487	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00755	Saci_0158	128542	129321	779	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS00760	Saci_0159	129299	129940	641	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00765	Saci_0160	130142	130450	308	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00770	Saci_0161	130496	130894	398	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00775	Saci_0162	130936	131793	857	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00780	Saci_0164	131846	132274	428	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00785	Saci_0165	132333	135161	2828	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00790	Saci_0166	135347	136912	1565	C	Energy production and conversion	3	METABOLISM
SACI_RS00795	Saci_0167	136962	137603	641	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00800	Saci_0168	137735	138160	425	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS00805	Saci_0169	138313	138495	182	NA	NA	NA	NA
SACI_RS00810	Saci_0170	138713	138804	91	NA	NA	NA	NA
SACI_RS00815	Saci_0171	138856	139191	335	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00820	Saci_0172	139218	139466	248	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00825	Saci_0173	139463	139735	272	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00830	Saci_0174	139725	140291	566	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00835	Saci_0175	140298	141302	1004	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00840	Saci_0176	141299	141829	530	J	Translation, ribosomal structure and biogenesis	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00845		141860	142120	260	NA	NA	NA	NA
SACI_RS00850	Saci_0177	142098	143135	1037	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00855	Saci_0178	143120	144070	950	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00860	Saci_0179	144039	144911	872	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS00865	Saci_0180	144979	145794	815	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS00870	Saci_0181	145763	146704	941	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS00875	Saci_0182	146701	147726	1025	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00880	Saci_0183	147730	148722	992	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00885	Saci_0184	148719	149780	1061	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00890	Saci_0185	149768	150559	791	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00895	Saci_0186	150537	151712	1175	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00900	Saci_0187	151685	152470	785	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00905	Saci_0188	152458	153684	1226	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00910	Saci_0189	153665	154324	659	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS00915	Saci_0190	154288	154590	302	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS00920	Saci_0191	154751	155041	290	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00925	Saci_0192	155041	156696	1655	K	Transcription	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00930	Saci_0193	156693	157496	803	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00935	Saci_0194	157512	157739	227	NA	NA	NA	NA
SACI_RS00940	Saci_0195	157840	158475	635	NA	NA	NA	NA
SACI_RS00945	Saci_0196	158508	159587	1079	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00950		159625	160275	650	NA	NA	NA	NA
SACI_RS00955	Saci_0198	160314	162212	1898	O	Posttranslational modification, protein turnover, chaperones	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00960	Saci_0199	162209	162913	704	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS00965	Saci_0200	162967	163719	752	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS00970	Saci_0201	163640	164668	1028	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00975	Saci_0202	164665	165033	368	NA	NA	NA	NA
SACI_RS00980	Saci_0203	165123	165578	455	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS00985	Saci_0204	165575	166237	662	D	Cell cycle control, cell division, chromosome partitioning	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS00990	Saci_0205	166310	167272	962	C	Energy production and conversion	3	METABOLISM
SACI_RS00995	Saci_0206	167263	168642	1379	C	Energy production and conversion	3	METABOLISM
SACI_RS01000	Saci_0207	168792	169754	962	C	Energy production and conversion	3	METABOLISM
SACI_RS01005	Saci_0208	169751	170665	914	C	Energy production and conversion	3	METABOLISM
SACI_RS01010	Saci_0209	170652	172535	1883	C	Energy production and conversion	3	METABOLISM
SACI_RS01015	Saci_0210	172652	173464	812	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01020	Saci_0211	173496	174212	716	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01025	Saci_0212	174209	175342	1133	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01030	Saci_0213	175393	176433	1040	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01035	Saci_0214	176428	177624	1196	F	Nucleotide transport and metabolism	3	METABOLISM
SACI_RS01040	Saci_0215	177638	178252	614	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01045	Saci_0216	178302	178952	650	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS01050	Saci_0217	178908	179534	626	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01055	Saci_0218	179632	180072	440	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01060	Saci_0219	180060	181058	998	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS01065	Saci_0220	181095	181892	797	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01070	Saci_0221	181889	182425	536	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS01075	Saci_0222	182422	182907	485	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01080	Saci_0223	183419	183775	356	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01085	Saci_0224	183747	184130	383	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01090	Saci_0225	186300	187166	866	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS01095	Saci_0226	187177	188112	935	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS01100	Saci_0227	188141	189664	1523	C	Energy production and conversion	3	METABOLISM
SACI_RS01105	Saci_0228	189727	190044	317	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS01110	Saci_0229	190498	191061	563	NA	NA	NA	NA
SACI_RS01115		191187	191366	179	NA	NA	NA	NA
SACI_RS01120	Saci_0230	191363	192301	938	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01125	Saci_0231	192591	193658	1067	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01130	Saci_0232	193627	194217	590	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01135	Saci_0233	194295	195149	854	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01140	Saci_0234	195146	196270	1124	NA	NA	NA	NA
SACI_RS01145	Saci_0236	196255	196752	497	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01150	Saci_0237	196832	197806	974	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01155	Saci_0238	197851	198606	755	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS01160	Saci_0239	198658	199305	647	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01165	Saci_0240	199277	200863	1586	C	Energy production and conversion	3	METABOLISM
SACI_RS01170	Saci_0241	201088	201432	344	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01175	Saci_0242	201884	202708	824	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS01180	Saci_0243	202705	203805	1100	C	Energy production and conversion	3	METABOLISM
SACI_RS01190	Saci_0244	204081	204923	842	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS01195	Saci_0245	204898	206193	1295	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01200	Saci_0246	206397	207317	920	C	Energy production and conversion	3	METABOLISM
SACI_RS01205	Saci_0247	207319	208218	899	C	Energy production and conversion	3	METABOLISM
SACI_RS01210	Saci_0248	208282	208731	449	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01215	Saci_0249	208803	209942	1139	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS01220	Saci_0250	209952	210617	665	C	Energy production and conversion	3	METABOLISM
SACI_RS01225	Saci_0251	210738	210971	233	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01230	Saci_0252	211084	211569	485	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS01235	Saci_0253	211569	212813	1244	E	Amino acid transport and metabolism	3	METABOLISM
SACI_RS01240	Saci_0254	212877	213713	836	U	Intracellular trafficking, secretion, and vesicular transport	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01245	Saci_0255	213685	214068	383	U	Intracellular trafficking, secretion, and vesicular transport	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01250	Saci_0256	214096	214386	290	U	Intracellular trafficking, secretion, and vesicular transport	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01255	Saci_0257	214660	215376	716	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS01260	Saci_0258	215373	217004	1631	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS01265	Saci_0260	217169	218701	1532	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS01270	Saci_0261	218701	219204	503	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS01275	Saci_0262	219222	220781	1559	I	Lipid transport and metabolism	3	METABOLISM
SACI_RS01280	Saci_0263	220907	223024	2117	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS01285	Saci_0264	223187	223384	197	NA	NA	NA	NA
SACI_RS01290	Saci_0265	223381	224352	971	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS01295	Saci_0266	224341	225003	662	P	Inorganic ion transport and metabolism	3	METABOLISM
SACI_RS01300	Saci_0267	225059	226192	1133	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01305	Saci_0268	226230	226892	662	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01310	Saci_0269	226899	227720	821	L	Replication, recombination and repair	1	INFORMATION STORAGE AND PROCESSING
SACI_RS01315	Saci_0270	227747	228460	713	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01320	Saci_0271	228453	229148	695	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01325	Saci_0272	229242	230108	866	G	Carbohydrate transport and metabolism	3	METABOLISM
SACI_RS01330	Saci_0273	230105	231292	1187	H	Coenzyme transport and metabolism	3	METABOLISM
SACI_RS01335	Saci_0274	231354	231965	611	V	Defense mechanisms	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01340	Saci_0275	231969	233144	1175	M	Cell wall/membrane/envelope biogenesis	2	CELLULAR PROCESSES AND SIGNALING
SACI_RS01345	Saci_0276	233267	233515	248	S	Function unknown	4	POORLY CHARACTERIZED
SACI_RS01350	Saci_0277	233532	234461	929	R	General function prediction only	4	POORLY CHARACTERIZED
SACI_RS01355	Saci_0278	234430	235188	758	S	Function unknown	4	POORLY CHARACTERIZED
